review_id,customer_id,product_id,rating,review_text
1,77,71,1,Average product
2,59,90,4,Poor packaging
3,229,24,4,Value for money
4,91,12,4,Very satisfied
5,1,60,2,Value for money
6,269,84,2,Excellent quality!
7,286,78,3,Poor packaging
8,197,86,1,Very satisfied
9,274,16,3,Value for money
10,78,29,2,Very satisfied
11,141,32,5,Excellent quality!
12,288,83,3,Poor packaging
13,71,35,2,Very satisfied
14,50,43,2,Excellent quality!
15,80,96,5,Average product
16,235,53,5,Very satisfied
17,287,20,5,Poor packaging
18,155,84,1,Exceeded expectations
19,60,8,2,Would not recommend
20,33,99,5,Would not recommend
21,127,42,1,Very satisfied
22,221,77,4,Very satisfied
23,200,70,4,Excellent quality!
24,126,16,4,Value for money
25,41,69,2,Would not recommend
26,275,53,1,Good but can improve
27,297,45,1,Value for money
28,85,51,4,Would not recommend
29,89,98,3,Very satisfied
30,42,6,4,Good but can improve
31,120,33,2,Poor packaging
32,279,79,4,Poor packaging
33,33,15,4,Exceeded expectations
34,276,14,1,Would not recommend
35,153,39,4,Good but can improve
36,90,63,5,Would not recommend
37,104,5,5,Excellent quality!
38,12,90,3,Very satisfied
39,160,81,2,Very satisfied
40,196,52,2,Exceeded expectations
41,262,16,1,Value for money
42,91,99,2,Excellent quality!
43,197,38,3,Average product
44,69,53,5,Poor packaging
45,220,87,1,Poor packaging
46,214,77,5,Very satisfied
47,146,97,3,Exceeded expectations
48,233,93,1,Good but can improve
49,234,53,4,Excellent quality!
50,214,46,2,Average product
51,61,98,3,Poor packaging
52,78,98,1,Excellent quality!
53,95,91,5,Average product
54,216,15,1,Would not recommend
55,213,59,4,Very satisfied
56,200,50,3,Value for money
57,31,9,1,Poor packaging
58,290,26,3,Poor packaging
59,135,3,3,Average product
60,83,100,5,Value for money
61,47,47,2,Good but can improve
62,206,5,4,Would not recommend
63,77,62,1,Excellent quality!
64,259,84,2,Very satisfied
65,92,84,5,Excellent quality!
66,100,5,2,Average product
67,195,10,3,Good but can improve
68,192,80,3,Good but can improve
69,68,63,4,Poor packaging
70,242,25,1,Would not recommend
71,90,44,1,Poor packaging
72,10,25,5,Excellent quality!
73,264,30,4,Would not recommend
74,268,14,1,Exceeded expectations
75,118,86,3,Very satisfied
76,250,43,4,Average product
77,59,28,2,Very satisfied
78,195,94,4,Good but can improve
79,50,19,4,Average product
80,296,42,1,Good but can improve
81,97,20,5,Very satisfied
82,127,99,5,Exceeded expectations
83,246,86,1,Excellent quality!
84,87,79,1,Value for money
85,77,11,1,Would not recommend
86,204,54,5,Average product
87,146,98,1,Excellent quality!
88,149,24,2,Poor packaging
89,111,70,2,Poor packaging
90,129,17,3,Very satisfied
91,253,28,2,Good but can improve
92,166,50,4,Poor packaging
93,297,95,3,Good but can improve
94,137,100,2,Value for money
95,279,55,4,Average product
96,11,73,2,Very satisfied
97,71,10,4,Average product
98,159,21,1,Average product
99,216,58,4,Exceeded expectations
100,26,34,1,Excellent quality!
101,286,95,4,Poor packaging
102,162,93,4,Would not recommend
103,102,43,2,Average product
104,69,11,4,Good but can improve
105,133,33,2,Value for money
106,189,58,4,Exceeded expectations
107,211,46,5,Good but can improve
108,243,61,3,Value for money
109,166,62,2,Good but can improve
110,61,1,2,Would not recommend
111,279,21,1,Poor packaging
112,113,62,5,Poor packaging
113,30,64,1,Very satisfied
114,161,87,5,Very satisfied
115,234,73,5,Good but can improve
116,170,56,4,Very satisfied
117,186,1,1,Poor packaging
118,57,21,3,Average product
119,240,22,5,Good but can improve
120,257,54,5,Excellent quality!
121,201,4,2,Would not recommend
122,106,65,4,Exceeded expectations
123,290,51,3,Would not recommend
124,101,74,5,Would not recommend
125,97,63,2,Very satisfied
126,153,15,1,Excellent quality!
127,29,36,5,Value for money
128,153,29,2,Poor packaging
129,73,52,1,Value for money
130,254,46,4,Very satisfied
131,4,69,1,Average product
132,237,29,5,Exceeded expectations
133,38,47,3,Exceeded expectations
134,20,91,1,Very satisfied
135,113,25,3,Excellent quality!
136,23,80,3,Exceeded expectations
137,136,16,1,Very satisfied
138,248,100,4,Would not recommend
139,97,89,1,Average product
140,33,41,2,Average product
141,135,65,3,Poor packaging
142,255,69,5,Poor packaging
143,278,20,3,Would not recommend
144,133,69,5,Good but can improve
145,238,36,2,Good but can improve
146,15,93,2,Average product
147,277,98,2,Good but can improve
148,126,58,1,Would not recommend
149,17,48,3,Average product
150,50,82,5,Good but can improve
151,135,2,2,Good but can improve
152,118,80,2,Good but can improve
153,60,29,5,Excellent quality!
154,125,97,3,Good but can improve
155,116,16,3,Good but can improve
156,173,35,5,Very satisfied
157,187,62,4,Poor packaging
158,88,81,3,Excellent quality!
159,203,4,5,Exceeded expectations
160,182,68,5,Good but can improve
161,168,51,2,Good but can improve
162,181,89,5,Very satisfied
163,300,33,1,Good but can improve
164,130,78,2,Good but can improve
165,149,24,2,Good but can improve
166,209,75,3,Poor packaging
167,111,25,4,Exceeded expectations
168,137,28,3,Would not recommend
169,211,7,1,Exceeded expectations
170,146,36,2,Excellent quality!
171,84,10,2,Good but can improve
172,30,36,5,Value for money
173,65,95,4,Exceeded expectations
174,24,83,4,Value for money
175,211,18,5,Poor packaging
176,222,6,1,Excellent quality!
177,90,92,4,Exceeded expectations
178,106,7,2,Good but can improve
179,172,12,1,Very satisfied
180,230,41,3,Exceeded expectations
181,77,63,3,Good but can improve
182,68,98,1,Very satisfied
183,92,25,2,Excellent quality!
184,88,81,3,Value for money
185,50,53,2,Excellent quality!
186,103,33,5,Good but can improve
187,46,87,4,Value for money
188,179,73,1,Value for money
189,267,6,4,Would not recommend
190,268,62,5,Would not recommend
191,8,66,3,Very satisfied
192,265,9,2,Poor packaging
193,78,67,2,Average product
194,240,16,5,Excellent quality!
195,258,89,1,Value for money
196,196,88,4,Good but can improve
197,131,93,3,Excellent quality!
